 -2.4	 4.4	    0.3630	 -1.1	-9	-12
 -0.9	 3.6	    0.3640	 -2.1	-7	-9
  1.3	 2.0	    0.3560	 -0.7	-8	-7
  0.5	 3.6	    0.3660	 -1.1	-8	-8
 -4.4	 0.5	    0.3570	 -3.9	-8	-8
 -4.9	 0.3	    0.3520	 -4.2	-9	-8
 -4.6	 1.3	    0.3560	 -2.8	-13	-9
 -4.0	 0.8	    0.3600	 -4.9	-19	-13
 -5.6	 2.8	    0.3480	 -2.4	-22	-19
 -4.1	 2.0	    0.3500	 -2.9	-20	-22
  0.6	-3.5	    0.3670	 -6.8	-14	-20
  0.8	-4.3	    0.3630	 -6.6	-16	-14
 -3.2	 0.1	    0.3520	 -1.0	-29	-16
 -1.2	-2.6	    0.3540	 -7.3	-35	-29
  0.1	-1.8	    0.3750	 -8.8	-34	-35
  2.4	-3.6	    0.4040	-11.9	-32	-34
  3.2	-3.3	    0.4170	-12.2	-39	-32
  0.3	 0.5	    0.4180	-14.3	-55	-39
  1.3	 4.4	    0.4190	-12.9	-76	-55
 -0.4	 5.7	    0.4050	-12.3	-92	-76
 -2.0	10.1	    0.3920	 -8.9	-100	-92
 -3.7	 8.3	    0.3840	 -2.4	-108	-100
 -2.5	 4.8	    0.3870	  6.5	-94	-108
 -5.5	 2.4	    0.3800	  2.3	-83	-94
 -3.2	 0.0	    0.3880	  0.3	-69	-83
  2.3	 1.0	    0.4080	  0.7	-64	-69
 -2.8	-4.1	    0.3980	 -1.1	-61	-64
 -4.6	-6.3	    0.3930	  0.6	-56	-61
 -4.9	-6.2	    0.3910	 -1.8	-52	-56
  1.2	-3.4	    0.3730	 -7.6	-49	-52
 -0.9	-1.8	    0.3860	 -7.8	-55	-49
 -0.4	 3.3	    0.3880	 -6.7	-64	-55
  0.9	 4.0	    0.3840	 -4.0	-72	-64
  3.2	 2.6	    0.3910	 -4.5	-76	-72
  5.7	-2.3	    0.3990	 -3.3	-68	-76
  5.0	 1.2	    0.3970	 -3.2	-62	-68
  2.0	 1.6	    0.3850	 -2.0	-62	-62
 -0.8	-1.3	    0.3870	  0.0	-62	-62
 -2.1	-4.2	    0.3930	  1.1	-62	-62
 -1.7	-3.2	    0.3960	  2.4	-63	-62
 -0.2	-3.3	    0.3800	  1.9	-58	-63
  1.5	-3.3	    0.3660	  1.1	-56	-58
  3.6	-1.0	    0.3480	  0.9	-54	-56
  3.6	 0.0	    0.3460	  0.2	-52	-54
  3.4	-0.6	    0.3630	  1.1	-53	-52
  2.8	 0.2	    0.3610	  0.5	-52	-53
  3.6	 0.2	    0.3530	 -0.4	-49	-52
  2.9 	-2.0	    0.3610	  0.4 	-45	-49
